"Save and Continue Edit",儲存並繼續編輯
"Edit Grid %1",編輯網格%1
"New Grid",新網格
"Department Information",部門信息
"General Information",一般資訊
"Store View",商店介面
Type,類型
address,地址
"X coordinate",X坐標
"Y coordinate",Y坐標
"Sort Order",排序
Telephone,電話
Whatsapp,WhatsApp
"Office hour",辦公時間
Title,標題
"URL Key",網址
Layout,介面
Status,狀態
Created,建立
Modified,修改
Action,操作
"Map Management",地圖管理
Jobs,工作
"Manage Jobs",管理作業
"A total of %1 record(s) have been deleted.","已經刪除 %1個記錄"
"Something went wrong while saving the department",儲存部門時出了錯
"Page not found.",找不到網頁。
Edit,編輯
Delete,刪除
