"Save and Continue Edit",儲存並繼續編輯
"Department Information",部門資訊
"General Information",一般資訊
"Store View",商店介面
Title,標題
Address,地址
"X coordinate",X坐標
"Y coordinate",Y坐標
"Sort Order",排序
Telephone,電話
Fax,傳真
Email,電郵
"Office hour",辦公時間
"Lunch time",午飯時間
"URL Key",網址
Layout,介面
Status,狀態
Created,已建立
Modified,已修改
Action,操作
"Map Management",地圖管理
Jobs,工作
"Manage Jobs",管理工作
"A total of %1 record(s) have been deleted.",共有%1紀錄已被刪除。
"Something went wrong while saving the department",儲存部門資料時出現錯誤
"Thanks for contacting us with your comments and questions. Well respond to you very soon.",感謝您的保貴意見及問題，我們會儘快回覆。
"We cant process your request right now. ",我們現在無法處理您的請求。
Edit,編輯
Delete,刪除
Delete?,確認刪除？
"Are you sure you want to delete a  record?",您確定要刪除此記錄？
