Warrantys,保養
"Add New Warranty",新增保養
"Save Warranty",儲存保養
"Delete Warranty",刪除保養
"Save and Continue Edit",儲存並繼續編輯
"Edit Warranty '%1'","編輯保養 '%1'"
"New Warranty",新保養
"Warranty Information",保養信息
"Customer Information",客戶資訊
"General Information",一般資訊
"Increment No.",增量編號
Salutation,稱謂
"English First Name",英文名字
"English Last Name",英文姓氏
"Chinese Name",中文名字
Company,公司
"Contact No. (1) Country Code",聯絡電話（1）國家編碼
"Contact No. (1)",聯絡電話（1）
"Contact No. (2) Country Code",聯絡電話（2）國家編碼
"Contact No. (2)",聯絡電話（2）
Email,電郵
"Quesetin Type",問題類型
Answer,答案
Birthday,生日
Status,狀態
"Product Information",產品信息
"Product Type",產品類別
"Serial Number",序號
Profile,個人資料
"T Combination",Ť組合
"FP Combination",FP組合
"Purchase Information",購買信息
Date,日期
"Name of Dealer",經銷商名稱
" Invoice No.",發票號碼
Information,信息
"My Warranties",我的保養
Home,首頁
"Go to Home Page",前往首頁
"Warranty Review",保養審查
"MT5 Registration",MT5登記
"Warranty Form",保養表格
"The warranty has been deleted.",保養已刪除。
"We can't find a warranty to delete.",我們無法找到要刪除的保養。
"This warranty no longer exists.",保養不存在。
"Edit Warranty",編輯保養
Warranty,保養
"Manage Warrantys",管理保養
"Please correct the data sent.",請更正發送的資料。
"A total of %1 record(s) have been deleted.",共有%1紀錄已被刪除。
"A total of %1 record(s) have been disabled.",共有%1結果已被下線。
"A total of %1 record(s) have been enabled.",共有%1結果已上線。
"You saved this warranty.",您已儲存此保養。
"Thank you for your MT5 registration!",多謝使用MT5登記服務！
"We can't process your request right now. ",我們目前無法處理您的請求。
"Who is your favourite singer?",誰是您最喜歡的歌手？
"What is your favourite pastime?",您最喜歡的嗜好是甚麼？
"What is your favourite sports team?",您最喜歡的運動隊伍是甚麼？
"What is the name of your primary school?",您就讀哪一間小學？
"What is your pet? name?",您飼養的寵物叫甚麼名字？
"What colour do you like best?",您最喜歡甚麼顏色？
"Which is your favourite festival?",你最喜歡哪一個節日？
"What is your favourite fruit?",你最喜歡甚麼水果？
Enabled,上線
Disabled,下線
"Auxiliary Lock",附加鎖
Cylinder,鎖膽
"Entrance Lockset",大門門鎖
Others,其他
"District Warranty with id ""%1"" does not exist.","編號""%1""的區域保養證並不存在。"
Edit,編輯
Delete,刪除
"Delete ${ $.$data.title }","刪除$ {$。$ data。title}"
"Are you sure you wan't to delete a ${ $.$data.title } record?","您確定要刪除 ${ $.$data.title }紀錄嗎？"
"* Required Fields",*必填欄位
"* Required Fields",*必填欄位
Please select one of the options.,請選擇一個選項
Mr,先生
Mrs,太太
Miss,小姐
"Chinese Name (if applicable)","中文姓名 (如適用)"
"Company Name (if applicable)",公司名稱(如適用)
"Hong Kong ID / Passport or<br>&nbsp;other ID","香港身份證號碼 / 護照或<br>&nbsp;其他身份證明號碼"
HKID,香港身份證
"Passport or other ID",護照或其他身份證明號碼
"first 4 digit, including the first letter)",前4位，包括第一個字母
"*Contact No. (1)",*聯絡電話（1）
"Coundivy Code",國家代碼
Number,號碼
"E-mail Address",電郵地址
